,Actors 1,Actors 2,Actors 3,Actors 4,Actors 5,Actors 6,Actors 7,Budget,Dialogue,Director,Directors,First Day,First Week,First Weekend,Genre,India Gross,Lyrics,Music,Overseas Gross,Producer,Production Banner,Release Date,Runtime,Screenplay,Screens,Story,Title,Worldwide Gross
3729,Tabu,Manoj Bajpai,Annu Kapoor,Priyanka Setia,Ashu Sharma,Naveen Kaushik,,--,Mukul Abhyankar,Mukul Abhyankar,,"15,00,000","76,00,000","54,00,000",Mystery,--,Manoj Muntashir,M.M. Kreem,$---,"Shabana Raza Bajpayee,Roopa Pandit,Vikram Malhotra,Anand Pandit,Shital Bhatia",Abundantia Entertainment,06-Apr-18,120 min,Mukul Abhyankar,0,Mukul Abhyankar,Missing,--
3730,Irrfan Khan,Kirti Kulhari,Divya Dutta,Arunoday Singh,Omi Vadiya,Gajraj Rao,Pradhuman Singh,--,Pradhuman Singh,Abhinay Deo,,"2,59,00,000","15,26,00,000","9,94,00,000",Drama,--,"Guru Randhawa,Amitabh Bhattacharya,Baadshah,Dhaval Parab","Guru Randhawa,Baadshah,Amit Trivedi",$---,"Apurba Sengupta,Bhushan Kumar,Abhinay Deo,Krishan Kumar",RDP Motion Pictures,06-Apr-18,139 min,Parvez Sheikh,1500,Parvez Sheikh,Blackmail,--
3731,Varun Dhawan,Banita Sandhu,Geetanjali Rao,Isha Chaturvedi,Sahil Vadoliya,,,"33,00,00,000",Juhi Chaturvedi,Shoojit Sircar,,"4,18,00,000","25,37,00,000","17,41,00,000",Love Story,--,"Abhiruchi Chand,Tanveer Ghazi,Swanand Kirkire","Shantanu Moitra,Abhishek Arora,Anupam Roy","$1,190,000","Sheel Kumar,Ronnie Lahiri",Kino Films,20-Apr-18,115 min,Juhi Chaturvedi,1600,Juhi Chaturvedi,October,"7,76,47,500"
3732,Vineet Yadav,,,,,"
",,--,S.S. Raja,S.S. Raja,,--,--,--,Drama,--,"S.S. Raja,Naushad Ali Rahat",Naushad Ali Rahat,$---,Vineet Yadav,G Media & Film Production,13-Apr-18,131 min,S.S. Raja,0,S.S. Raja,Shootout At Etawah Safari,--
3733,Abhay Deol,Patralekha,Manu Rishi Chadha,Rajesh Sharma,Brijendra Kala,Himani Shivpuri,Manoj Pahwa,"15,00,00,000",Manu Rishi Chadha,Faraz Haider,,"71,00,000","4,35,50,000","2,86,00,000",Drama,--,"Abid Al,Sajid Qureshi,Sonu Saggu,Danish Sabri","Sajid - Wajid,Sachin Gupta,Babli Haq,Gunwant Sen",$---,Sajid Qureshi,Inbox Pictures Pvt. Ltd.,20-Apr-18,132 min,Manu Rishi Chadha,0,Mysskin,Nanu Ki Jaanu,--
3734,Ishaan Khattar,Malavika Mohanan,Gautam Ghose,G.V. Sharda,Dhwani Rajesh,,"
",--,Vishal Bhardwaj,Majid Majidi,,"24,00,000","1,52,50,000","1,07,00,000",Drama,--,M.C. Heam,A.R. Rehman,$---,"Kishore Arora,Shareen Mantri ",Namah Pictures,20-Apr-18,122 min,"Majid Majidi,Mehran Keshani",0,Majid Majidi,Beyond The Clouds,--
3735,Ankit,,,"
",,,,--,,Kapil Pandey,,--,--,--,,--,,,$---,Kapil Pandey,Kanishq Entertainment,20-Apr-18,0 min,,0,,My Doll Habibi,--
3736,Hrishita Bhatt,Mohit Madan,Mozhgan Taraneh,Salil Naik,Shahbaaz Khan,Aman Verma,Manoj Pahwa,--,Jojo D'Souza,Jojo D'Souza,,--,--,--,Drama,--,"Manoj Yadav,Dinkar Shirke,Amogh Bala",Swapnil Digde,$---,Deepak Bandekar,Big Banner Entertainment And Media LLP,27-Apr-18,122 min,Manoj Srivastava,0,Jojo D'Souza,Ishq Tera,--
3737,Tom Alter,Manoj Bakshi,Pragati Mangala,,,,,--,Jainendra Jigyasu,Jainendra Jigyasu,,--,--,--,Drama,--,Jainendra Jigyasu,"Malti Mathur,Anurag Singh,V. Hemanandh",$---,,Alakh Media,27-Apr-18,100 min,Jainendra Jigyasu,0,Jainendra Jain,Hamari Paltan,--
3738,Rahul Bhatt,Richa Chaddha,Aditi Rao Hydari,Saurabh Shukla,Dalip Tahil,Vipin Sharma,Deep Raj Rana,--,"Sudhir Mishra,Tariq Siddiqui",Sudhir Mishra,,"24,00,000","1,14,00,000","79,00,000",Drama,--,"Faiz Ahmed Faiz,Sagar Lahauri,Gaurav Solanki,Munir Niazi,Deepak Ramola,Arko Pravo Mukherjee,Sameer","Sandesh Shandilya,Arko Pravo Mukherjee,Shamir Tandon,Anupam Roy,Vipin Patwa",$---,Sanjjeev Kumar,Saptrishi Cinevision,27-Apr-18,140 min,"Jaydeep Sarkar,Sudhir Mishra,Ravi S. Alok",0,"Jaydeep Sarkar,Sudhir Mishra",Daas Dev,--
3739,Ramesh Kumar Yadav,,,,,,"
",--,Ramesh Kumar Yadav,Sanjay Srivastava,,--,--,--,,--,"Vikas Kaushik,Dharmendar Ahsas",K. Ratnesh,$---,Ramesh Kumar Yadav,Yaduvansh Films International,06-Apr-18,149 min,Ramesh Kumar Yadav,0,Ramesh Kumar Yadav,Bhu Mafia,--
3740,Arjun Dagar,,,,"
",,,--,Kamil Pasha,"Parveen Dagar,Kapil Dixit",,--,--,--,Thriller,--,"Muneer Khan,Kamil Pasha","Munni Raj,Piyush - Nikhil",$---,,AKT & Baksh Brothers Film Production,20-Apr-18,101 min,Kamil Pasha,0,Kamil Pasha,Killer Highway 21,--
3741,Gajendra Chauhan,Supriya Devi,Sudeep Mukherjee,Joy Badlani,"
",,,--,Partha Mitra,Milan Bhowmik,,--,--,--,Drama,--,"Goutam Sushmit,Priyo Chattopadhyay",Soumitra Kundu,$---,"Bijoy Mukherjee,Pradip Kumar Mondal",Kolkata Entertainment,27-Apr-18,128 min,Partha Mitra,0,,1946 - Calcutta Killings,--
3742,Qais Tanveer,Aryan Vaid,Anushka Srivastava,Sapna Rathore,Rajpal Yadav,,,--,Manzar Baliyavi,Sameer Khan,,--,--,--,Thriller,--,"Deepak Agarwal,Manzar Baliyavi",Gufy,$---,Jayant Ghosh,J.R. Production House,04-May-18,136 min,Manzar Baliyavi,0,Manzar Baliyavi,Tishnagi,--
3743,Amitabh Bachchan,Rishi Kapoor,Jimmit Trivedi,Dharmendra Gohil,,,,"35,00,00,000","Saumya Joshi,Jigna Vyas",Umesh Shukla,,"3,42,00,000","27,63,00,000","16,77,00,000",Comedy,--,"Saumya Joshi,Hiral Brahmbhatt",Salim - Sulaiman,"$2,870,000",,Benchmark Pictures,04-May-18,102 min,Saumya Joshi,1300,Saumya Joshi,102 Not Out,"19,22,90,000"
3744,Alia Bhatt,Vicky Kaushal,Jaideep Ahlawat,Rajit Kapoor,Shishir Sharma,Soni Razdan,Amruta Khanvilkar,"38,00,00,000",Meghna Gulzar,Meghna Gulzar,,"7,33,00,000","56,18,00,000","32,72,00,000",Drama,--,Gulzar,Shankar - Ehsaan - Loy,"$5,690,000","Vineet Jain,Karan Johar,Hiroo Johar,Apoorva Mehta",Dharma Productions Pvt. Ltd.,11-May-18,140 min,"Bhavani Iyer,Meghna Gulzar",1850,,Raazi,"38,40,75,000"
3745,Rajkummar Rao,Keval Arora,Rajesh Tailong,,,,,"12,00,00,000",Hansal Mehta,Hansal Mehta,,"48,00,000","3,02,00,000","2,09,00,000",Drama,--,,Ishaan Chhabra,"$55,000",Nahid Khan,Swiss Entertainment Pvt. Ltd.,04-May-18,96 min,Hansal Mehta,600,Mukul Dev,Omerta,"36,85,000"
3746,Vedita Pratap Singh,Yuvraj Parashar,Rajesh Sharma,Samiksha Bhatt,,,,--,Sundip Rale,Gagan Puri,,"6,00,000","31,00,000","21,00,000",Horror,--,Sundip Rale,Mannan Munjal,$---,"Jaspal Singh,Nitesh Kumar",Peacock Motion Filmz,11-May-18,122 min,Sundip Rale,100,Sundip Rale,The Past,--
3747,Raja Thakur,,,,,,,--,Raja Thakur,Raja Thakur,,--,--,--,Drama,--,Raja Thakur,Pradeep Pandit,$---,Raja Thakur,S.S. Katariya Entertainment Media,11-May-18,120 min,"Awi Khan,Raja Thakur",0,"Awi Khan,Raja Thakur",Meri Shaan Hai Vardi,--
3748,Rituraj Singh,,,"
",,,,--,Sarita Devi,P.P. Pandey,,--,--,--,Drama,--,Kumar Ravi,Abhishek Pandey,$---,Manoj Kushwaha,Vijay Entertainment,04-May-18,105 min,Sarita Devi,0,Rituraj Singh,Ek Khel Rajniti,--
3749,Kanchan Awasthi,,,"
",,,,--,Shantanu Anant Tambe,Shantanu Anant Tambe,,--,--,--,Horror,--,"Prabha Thakur,Neha Bansal",Praveen - Manoj,$---,"Sarika Vinod Tambe,Gajendra Srivastav",Passionworld Entertainment,11-May-18,109 min,Shantanu Anant Tambe,0,Shantanu Anant Tambe,Bhootwali Love Story,--
3750,Sidharrth Jaaju,,"
",,,,,--,Shakti Sagar Jaju,Shakti Shankar Jaju,,--,--,--,Love Story,--,Sidharrth Jaaju,Sidharrth Jaaju,$---,Sidharrth Jaaju,Jaaju Creatives Productions,11-May-18,167 min,Shakti Sagar Jaju,0,Shakti Sagar Jaju,Auto Romance In Mumbai,--
3751,Naseeruddin Shah,Sonali Kulkarni,Aamir Bashir,Naveen Kasturia,Beena Banerjee,Neha Chauhan,Pawan Mahendru,--,"Saurabh Dixit,Sudip Bandyopadhyay",Sudip Bandyopadhyay,,"3,00,000","19,25,000","13,00,000",Drama,--,Saurabh Dixit,Rupert Fernandes,$---,Samira Bandyopadhyay,Thumbnail Pictures Pvt. Ltd.,11-May-18,95 min,Sudip Bandyopadhyay,150,Sudip Bandyopadhyay,Hope Aur Hum,--
3752,Sumeet Vyas,Kumud Mishra,Natasha Rastogi,Mantra Mugdh,Sarthak Kakar,Sarang Sathye,Muzammil S. Qureshi,--,Akarsh Khurana,Akarsh Khurana,,"5,75,000","32,50,000","21,00,000",Comedy,--,"Akarsh Khurana,Rajat Tiwari,Vibha Singh,Slow Cheeta","Anurag Saikia,Shwetang Shankar,Slow Cheeta,Rajat Tiwari,Nucleya",$---,"Vikas Bahl,Arun Praksah,Nickhil Jakatdar,Vikramaditya Motwane,Madhu Mantena Varma",Phantom Films,18-May-18,102 min,Akarsh Khurana,250,Aadesh K. Arjun,High Jack,--
3753,Manoj Pahwa,Vinay Pathak,Seema Pahwa,Sanah Kapoor,Dolly Ahluwalia,Alka Amin,Vicky Arora,--,Harsh Chhaya,Harsh Chhaya,,"9,50,000","53,75,000","35,00,000",Comedy,--,"Kumaar,Harsh Chhaya",Bikram Ghosh,$---,Amrit Sethia,Welcome Friends Productions LLP,18-May-18,119 min,Harsh Chhaya,275,Harsh Chhaya,Khajoor Pe Atka,--
3754,Sanjay Mishra,Pankaj Tripathi,Brijendra Kala,Ekvali Khanna,Anshuman Jha,Shivani Raghuvanshi,,--,"Aryan Saha,Harish Vyas",Harish Vyas,,"5,00,000","30,50,000","20,00,000",Drama,--,"Yogesh,Pratibha Tiku,Pradeep Sharma","Ranjan Sharma,Praveen Kunwar,Omi - Adil",$---,"Manav Malhotra,Bunty Khan",Drumroll Pictures,18-May-18,108 min,"Harish Vyas,Aryan Saha",150,"Harish Vyas,Aryan Saha",Angrezi Mein Kehte Hain,--
3755,,,,,,,,--,,,,--,--,--,Comedy,--,,,$---,,Dev Gayati Entertainment,18-May-18,122 min,,0,,Falooda,--
3756,John Abraham,Diana Penty,Boman Irani,Anuja Sathe,Yogendra Tikku,Vikas Kumar,Pravina Deshpande,"44,00,00,000","Abhishek Sharma,Sanyukta Chawla,Saiwyn Qadras",Abhishek Sharma,,"4,75,00,000","35,08,00,000","20,55,00,000",Drama,--,"Sachin Sanghvi,Vayu",Sachin - Jigar,"$1,240,000",,JA Entertainment Pvt. Ltd.,25-May-18,129 min,"Abhishek Sharma,Saiwyn Qadras,Sanyukta Chawla",1900,"Abhishek Sharma,Sanyukta Chawla,Saiwyn Qadras",Parmanu - The Story Of Pokhran,"8,40,10,000"
3757,Bhavesh Koriya,,"
",,,,,--,A.K. Akhtar,"Isuu Arya,Kamruz Zma",,--,--,--,Horror,--,Rizwan Hashmi,Jaydeep,$---,,Baba Art Media Entertainment,11-May-18,124 min,"A.K. Akhtar,Mohammad Usman",0,A.K. Akhtar,Anta Fazila,--
3758,Kabina Maharjan,Avantika Mishra,Neha Joshi,Javed Haidar,Gulshan Pandey,,,--,Ravindra Khare,Ravindra Khare,,--,--,--,Mystery,--,"Shahid Bawa,Nitin Raikwar,Ravindra Khare","Nitin Raikwar,Ravindra Khare",$---,Ravindra Khare,Music One Films Production & Studio,25-May-18,129 min,Ravindra Khare,0,Ravindra Khare,One Night Out,--
3759,Sandeep Kuma,,,,"
",,,--,Rahul Ranjan,Rahul Ranjan,,--,--,--,Drama,--,Rakesh Nirala,Rakesh Nirala,$---,"Rahul Ranjan,Amit Kumar",Amit Rahul Productions Pvt. Ltd.,25-May-18,122 min,Rahul Ranjan,0,Rahul Ranjan,Racket,--
3760,Danny Denzongpa,Geetanjali Thapa,Adil Hussain,Tisca Chopra,Brijendra Kala,Ekvali Khanna,Shashi Bhushan,--,,Deb Medhekar,,"5,00,000","34,25,000","23,00,000",Drama,"49,25,000",Gulzar,Sandesh Shandilya,"$8,000",Sunil Doshi,Fox Star Studio India Pvt. Ltd.,25-May-18,94 min,"Radhika Anand,Deb Medhekar",150,"Sunil Doshi,Deb Medhekar",Bioscopewala,"54,63,000"
3761,Kareena Kapoor,Sonam Kapoor,Swara Bhaskar,Shikha Talsania,Sumeet Vyas,Vishwas Kinni,Neena Gupta,"42,00,00,000","Mehul Suri,Nidhi Mehra",Shashanka Ghosh,,"10,42,00,000","54,46,00,000","35,39,00,000",Drama,--,"Shashwat Sachdev,Qaran,Rupin Pahwa,White Noise,Baadshah,Anvita Dutt,Rajshekhar,Shellee,Jagbir Rathee","Shashwat Sachdev,White Noise,Vishal Mishra,Qaran","$5,420,000","Anil Kapoor,Nikhil Dwivedi,Ekta Kapoor,Shobha Kapoor,Rhea Kapoor",Anil Kapoor Films Company,01-Jun-18,125 min,"Mehul Suri,Nidhi Mehra",2200,"Mehul Suri,Nidhi Mehra",Veere Di Wedding,"36,44,95,000"
3762,Harshvardhan Kapoor,Shreiyah Sabharwal,Priyanshu Painyuli,Ashish Verma,Nishikant Kamat,Pratap Phad,Chinmay Mandlekar,"21,00,00,000","Anurag Kashyap,Vikramaditya Motwane,Abhay Koranne",Vikramaditya Motwane,,"26,00,000","1,41,00,000","95,00,000",Drama,--,Amitabh Bhattacharya,Amit Trivedi,"$100,000","Madhu Mantena Varma,Anurag Kashyap,Vikas Bahl",Eros International,01-Jun-18,155 min,"Anurag Kashyap,Vikramaditya Motwane,Abhay Koranne",700,"Anurag Kashyap,Vikramaditya Motwane,Abhay Koranne",Bhavesh Joshi Superhero,"67,25,000"
3763,Jimmy Shergill,Shriya Saran,Kay Kay Menon,Pankaj Tripathi,Mahie Gill,Brijendra Kala,Jameel Khan,--,"Puneet Sharma,Karan Lalit Bhutani",Karan Lalit Bhutani,,"6,00,000","30,75,000","21,00,000",Drama,--,"Puneet Sharma,Naveen Tyagi","Sandeep Goswani,Krsna,Surya Vishwakarma",$---,"Nivedita Kothare,Raj Khatri,Sunit Jawadekar,Amitabh Chandra",Om Reels,01-Jun-18,114 min,"Karan Lalit Bhutani,Puneet Sharma",300,Karan Lalit Bhutani,Phamous,--
3764,Neeta Yadav,,"
",,,,,--,Vinod Tripathi,Vinod Tripathi,,--,--,--,Horror,"1,50,000",Rajesh Ghayal,Rajesh Ghayal,$---,"Deepak Kumar Sharma,Girish Bhatnagar",Laddu Gopal Associates,01-Jun-18,0 min,Vinod Tripathi,10,Vinod Tripathi,Maut Phir Aayegi,"1,50,000"
3765,Ankit Bashara,,"
",,,,,--,,Ayush Roy,,--,--,--,,--,,,$---,,Smart Movie Makers,01-Jun-18,0 min,,0,,Sweet Eighteen Plus,--
3766,Parth Singh Chauhan,Shahbaaz Khan,Sudesh Berry,Inder Kumar,Deepshika,Sudha Chandran,,--,Bhushan Singh,Shyamlal K. Mishra,,--,--,--,Drama,--,"Shyamlal K. Mishra,Bhushan Singh",Dilip Sen,$---,Harvind Singh Chauhan,Parth Films International,08-Jun-18,143 min,"Shyamlal K. Mishra,Bhushan Singh",0,Bhushan Singh,Krina,--
3767,Anil Kapoor,Salman Khan,Jacqueline Fernandez,Bobby Deol,Daisy Shah,Saqib Saleem,Freddy Daruwala,"1,85,00,00,000","Shiraz Ahmed,Kiran Kotrial",Remo D'Souza,,"27,69,00,000","1,39,97,00,000","1,00,64,00,000",Thriller,"2,12,95,00,000","Shivai Vyas,Shloke Lal,Vicky - Hardik,Salman Khan,Kunaal Vermaa,Kumaar,Shabbir Ahmed,Rimi Nique","Vishal Mishra,Gurinder Seagal,Ali Jacko,Meet Bros,Vicky - Hardik,Jam 8,Jayanta Pathak,Shivai Vyas","$13,560,000","Ramesh S. Taurani,Salma Khan",Salman Khan Films,15-Jun-18,159 min,Shiraz Ahmed,4300,Shiraz Ahmed,Race 3,"3,05,15,80,000"
3768,Saahil,,,,,"
",,--,Rama Mehra,Rama Mehra,,--,--,--,,--,,Dheeraj Sen,$---,Rohitash Kumawat,Karigar Arts,22-Jun-18,121 min,Rama Mehra,0,Rama Mehra,Hotel Kohinoor,--
3769,Ranbir Kapoor,Paresh Rawal,Vicky Kaushal,Dia Mirza,Jim Sarbh,Anjan Srivastav,Karishma Tanna,"96,00,00,000","Rajkumar Hirani,Abhijat Joshi",Rajkumar Hirani,,"34,19,00,000","2,00,16,00,000","1,19,33,00,000",Drama,"4,30,84,00,000","Abhijat Joshi,Shekhar Astitwa,Rohan Gokhale,Puneet Sharma,Irshad Kamil","A.R. Rehman,Vikram Montrose,Rohan Gokhale,Rohan Pradhan","$21,470,000","Rajkumar Hirani,Vidhu Vinod Chopra",Fox Star Studio India Pvt. Ltd.,29-Jun-18,161 min,"Abhijat Joshi,Rajkumar Hirani",4200,"Abhijat Joshi,Rajkumar Hirani",Sanju,"5,78,44,62,500"
3770,"


",,,,,,,--,,Ezhil Vendan,,"7,00,000",--,"52,00,000",Animation,--,,,$---,"Rajiv Chilaka,Samir Jain,Srinivas Chilakalapudi",Green Gold Pictures,06-Jul-18,91 min,Narayanan Vaidyanathan,0,Narayanan Vaidyanathan,Hanuman Vs Mahiravana,--
3771,Dolly Tomar,Rajneesh Dubey,,"
",,,,--,Shadab Khan,Shadab Khan,,--,--,--,Drama,--,,Deepak Kumar,$---,"Jigar Rawal,Sachin Saxena,Rajneesh Dubey",Cinecloud,06-Jul-18,108 min,Shadab Khan,0,Shadab Khan,Delhi 47km,--
3772,Abhishek Mahendru,,,,,"
",,--,Sourabh Shrivastava,Sourabh Shrivastava,,--,--,--,Drama,--,Sourabh Shrivastava,Sourabh Shrivastava,$---,"Anupama Shakya,Pushpendra Tiwari",Tortoise Motion Pictures,06-Jul-18,118 min,Sourabh Shrivastava,0,Sourabh Shrivastava,Play This,--
3773,Ali Fazal,Melanie Kannokada,Omi Vadiya,Amitosh Nagpal,Rajit Kapoor,,,--,Rishi Bhilawadikar,,,--,--,--,Drama,--,,"Manesh Judge,Ajit Singh",$---,"Vineet Jain,Rucha Humnabadkar,Rishi Bhilawadikar,C.C. Chainey",Many Cups of Chai Films,06-Jul-18,105 min,Rishi Bhilawadikar,0,Rishi Bhilawadikar,For Here Or To Go?,--
3774,Rajneesh Duggal,Krishna Abhishek,Nazia Hussain,Mukul Dev,Deepshika,Aman Verma,Sunil Pal,--,"Rakesh Tripathi,Vinod Tripathi",Vinod Tiwari,,"3,75,000","19,00,000","13,00,000",Comedy,--,"Rajesh Manthan,Athiya Sayyed,Hari Shanker","Anaamik,Vijay Verma",$---,"Vinod Tiwari,Raj Nostrum,Haresh Kumar Nor",Nostrum Entertainment,13-Jul-18,126 min,"Rashid Khan,Vinod Tiwari",175,Vinod Tiwari,Teri Bhabhi Hai Pagle,--
3775,Ishaan Khattar,Jahnvi Kapoor,Ashutosh Rana,Ankit Bisht,Shridhar Watsar,Godaan Kumar,Govind Pandey,"41,00,00,000",Shashank Khaitan,,,"8,75,00,000","51,31,00,000","33,32,00,000",Love Story,--,Amitabh Bhattacharya,Ajay - Atul,"$2,830,000","Karan Johar,Hiroo Johar,Apoorva Mehta",Dharma Productions Pvt. Ltd.,20-Jul-18,138 min,Shashank Khaitan,2350,Nagraj Manjule,Dhadak,"19,52,70,000"
3776,Sanjay Dutt,Jimmy Shergill,Mahie Gill,Chitrangda Singh,Kabir Bedi,Deepak Tijori,Nafisa Ali,"28,00,00,000","Tigmanshu Dhulia,Sanjay Chauhan",Tigmanshu Dhulia,,--,"7,14,00,000",--,Thriller,--,"Kumaar,Revant Shergill,Sandeep Nath,Kausar Munir","Anjan Bhattacharya,Rana Mazumder,Siddharth Pandit","$130,000","Tigmanshu Dhulia, Rahul Mittra",Jar Pictures Pvt. Ltd.,27-Jul-18,140 min,"Sanjay Chauhan,Tigmanshu Dhulia",1450,"Sanjay Chauhan,Tigmanshu Dhulia",Saheb Biwi Aur Gangster 3,"89,70,000"
3777,Diljit Dosanjh,Tapsee Pannu,,,,,,"31,00,00,000",,,,"3,20,00,000","21,09,00,000","13,48,00,000",Drama,--,,,"$1,110,000",,CS Films,13-Jul-18,131 min,,1150,,Soorma,"7,65,90,000"
3778,Manoj Malhotra,,,,,"
",,--,Pandit Vyas,Pandit Vyas,,--,--,--,Drama,--,Pandit Vyas,N.K. Nandan,$---,Pandit Vyas,Pandit Vyas Productions,13-Jul-18,124 min,Pandit Vyas,0,Pandit Vyas,Sarkaar Haazir Ho,--
3779,Kumar Deepak,,,,"
",,,--,Tushar Kothari,Harish Darshan Sharma,,--,--,--,Drama,--,"Kishore Parihar,Gulshan Imtiyaz,Prateek Dave Ratlami,Bhupendra Tomar","Aditya Gaud,Nageshwar Katha",$---,Harish Darshan Sharma,Ishaan Film Productions,13-Jul-18,97 min,Harish Darshan Sharma,0,Harish Darshan Sharma,Malwa Maratha,--
3780,Masoom Singh,Kalpana Bhattarai,Samuel Kamble,,,,,--,Prabhat Kumar,Prabhat Kumar,,--,--,--,Drama,--,Prabhat Kumar,Yug Bhusal,$---,Anup Gadal,Annora Films,13-Jul-18,98 min,Prabhat Kumar,0,Prabhat Kumar,Back To Dad,--
3781,Mousam Sharma,Swati Bakshi,Himani Shivpuri,,,,,--,"Sudhish Kumar Sharma,Vaibhav Bist",Sudhish Kumar Sharma,,--,--,--,Comedy,--,"Shweta Raj,Rishabh Jain","Rishabh Jain,Kashi - Richard",$---,"Jaivindra Singh Bhati,Chaman Gupta",Apaan Films,27-Jul-18,122 min,"Sudhish Kumar Sharma,Vaibhav Bist",0,Vaibhav Bist,When Obama Met Osama,--
3782,Dharmesh Yelande,Raghav Juyal,Punit J. Pathak,Isha Rikhi,Vijay Raaz,Zakir Hussain,Mukesh Tiwari,--,Pradeep Singh,Jayesh Pradhan,,"48,00,000","3,70,00,000","2,19,00,000",Rom - Com,--,"Gurinder Segal,Baadshah,Kunaal Vermaa,Sandeep Nath,Kumaar","Baadshah,Gurinder Seagal,Guru Randhawa",$---,"Mayur K. Barot,Lizelle Dsouza",RD Entertainment Pvt. Ltd.,27-Jul-18,112 min,Pradeep Singh,0,Pradeep Singh,Nawabzaade,--
3783,Manoj Kumar Rao,Rose Laskar,Aditya Singh,,,,,--,Ritesh S. Kumar,Ritesh S. Kumar,,--,--,--,Drama,--,Chunmun Pandit,"Chunmun Pandit,Ramvijay Chandran",$---,,Dirt Cheap Pictures,27-Jul-18,108 min,Ritesh S. Kumar,0,Ritesh S. Kumar,Mridang,--
3784,Jayant Kumar Amrit,,"
",,,,,--,S.K. Amrit,S.K. Amrit,,--,--,--,Drama,--,S.K. Amrit,Pintu Parveen,$---,S.K. Amrit,Apa Productions,27-Jul-18,107 min,S.K. Amrit,0,S.K. Amrit,Ek Shatir Gunahgaar,--
3785,Prince Madhup,,"
",,,,,--,Prem Sagar Singh,Prem Sagar Singh,,--,--,--,Horror,--,Prem Sagar Singh,Dhanesh Raj,$---,B.N. Tiwari,Brothers Media Entertainment,27-Jul-18,103 min,Prem Sagar Singh,0,Prem Sagar Singh,2001 Dead One,--
3786,Jalal Hashmi,,"
",,,,,--,Jalal Hashmi,Jalal Hashmi,,--,--,--,,--,,Syed Ahmed,$---,Jalal Hashmi,J. Hashmi Films,03-Aug-18,0 min,Jalal Hashmi,0,Jalal Hashmi,Lights Off,--
3787,Nishat Mallick,Archana Kotwal,Rakesh Chaturvedi,Nidhi Mahawan,,,,--,"Vivek Agrawal,Alka Agrawal",Sandeep Chaterjee,,--,--,--,Thriller,--,Santokh Singh,Santokh Singh,$---,"Satish Pujary,Deepakk Shah,Sandeep Chaterjee",Audio Lab Media Corporation,03-Aug-18,102 min,Sandeep Chaterjee,0,Sandeep Chaterjee,Adrishya,--
3788,Anil Kapoor,Aishwarya Rai,Rajkummar Rao,Pihu Sand,Divya Dutta,Girish Kulkarni,Asif Basra,"39,00,00,000","Abbas Dalal,Hussain Dalal",Atul Manjekar,,"2,00,00,000","9,45,00,000","6,96,00,000",Drama,--,Irshad Kamil,"Amit Trivedi,Tanishk",$---,"Anil Kapoor,P.S. Bharathi,Rajiv Tandon,Krishan Kumar,Rakesh Omprakash Mehra,Bhushan Kumar",Anil Kapoor Films Company,03-Aug-18,129 min,"Abbas Dalal,Atul Manjekar,Hussain Dalal",1350,,Fanney Khan,--
3789,Irrfan Khan,Dulquer Salmaan,Mithila Palkar,Akash Khurana,Amala,Kriti Kharbanda,,"23,00,00,000",Hussain Dalal,Akarsh Khurana,,"1,55,00,000","12,33,00,000","7,89,00,000",Drama,--,"Prateek Kuhad,Slow Cheeta,Imaad Shah,Akarsh Khurana","Slow Cheeta,Anurag Saikia,Shwetang Shankar,Imaad Shah,Prateek Kuhad",$---,"Ronnie Screwvala,Priti Gupta",Ishka Films,03-Aug-18,120 min,"Adhir Bhatt,Akarsh Khurana",1000,Bejoy Nambiar,Karwaan,--
3790,Rishi Kapoor,Taapsee Pannu,Ashutosh Rana,Rajat Kapoor,Kumud Mishra,Manoj Pahwa,Prateik Babbar,--,Anubhav Sinha,Anubhav Sinha,,"1,52,00,000","12,54,00,000","7,81,00,000",Drama,--,Shakeel Azmi,"Prasanna Shekhar,Anurag Saikia",$---,"Anubhav Sinha,Deepak Mukut",Benaras Mediaworks,03-Aug-18,140 min,Anubhav Sinha,1050,Anubhav Sinha,Mulk,--
3791,Imtiaz Ahmed ,,,,"
",,,--,Shahid Kabeer,Shahid Kabeer,,--,--,--,Drama,--,"Aditya Roshan,Dinesh Singh Rana,Imtiaz Ahmed ",Kishore Rawat,$---,"Aditya Roshan,Shahid Kabeer",Aditya Roshan Film Production,10-Aug-18,127 min,Shahid Kabeer,0,Shahid Kabeer,Unmaad,--
3792,Vibhav Roy,Saeeda Imtiaz,Tom Alter,,,,,--,"Sourabh Bali,Dhruv Sachdev","Dhruv Sachdev,Sourabh Bali",,--,--,--,Love Story,--,"Aagman - Agastya,Shraddha Bhilave","Aagman - Agastya,Anurag Mohan",$---,"Varun Bhilwara,Durgesh Paul",Bhilwara Entertainment,10-Aug-18,101 min,"Sourabh Bali,Dhruv Sachdev",0,"Dhruv Sachdev,Sourabh Bali",Redrum - A Love Story,--
3793,Aseem Ali Khan,Bidita Bag,Kiran Kumar,Zakir Hussain,Shahzad Pathan,"
",,--,"Harish - Sandeep,Harish - Sandeep",Shamshad Pathan,,--,--,--,Mystery,--,Salim Begaana,Asif Chandwani,$---,Shahzad Pathan,Raj Aman Productions,10-Aug-18,111 min,"Ajay Deep Singh,Harish - Sandeep",0,Shahzad Pathan,Page 16,--
